coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,reweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Wed Mar 21 10:21:07 +0000 2018,,,,1,976403322319114241,edsu,975356046704332800,14331818,en,,,0,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",We could have planned a better weather forecast though.,https://twitter.com/edsu/status/976403322319114241,Tue Apr 08 12:43:41 +0000 2008,edsu,false,"I work at @umd_mith, study web archives at @iSchoolUMD & work on @documentnow // I double dare you to follow me on Mastodon https://t.co/uNbSDrHZf6",14241,5472,3422,402,"Silver Spring, MD",Ed Summers,edsu,31270,,http://inkdroid.org,true
,Wed Mar 21 02:15:10 +0000 2018,EAW18,,https://eaw.rhizome.org/,51,976281030536523776,,,,en,,false,18,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Really appreciate all those who are able to rebook travel in order to be able to join us for #EAW18 in NYC. For those who won’t be able to make it, thank you for trying. We’ll still be livestreaming so folks can join us there. Safe travels everyone. https://t.co/PfmlVLYxsA",https://twitter.com/BergisJules/status/976281030536523776,Sat Dec 15 04:02:22 +0000 2012,BergisJules,false,immigrant | archivist | doer of things | @DocumentNow https://t.co/s643ifXmdI,16531,2850,1109,122,"California, USA",Bergis Jules 🇱🇨,BergisJules,15287,,https://medium.com/@BergisJules,false
,Wed Mar 21 12:20:18 +0000 2018,,,http://eaw.rhizome.org,0,976433316940472321,,,,en,,false,17,975356046704332801,edsu,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @edsu: We really couldn’t have planned a better backdrop for the conversation that’ll be going on at https://t.co/dexFYmOED0 this week.…,https://twitter.com/edrabinski/status/976433316940472321,Thu Mar 06 17:04:36 +0000 2008,edrabinski,false,"Reader, writer. Librarian, pedestrian. I show off the books at @LIUBrooklyn and edit them @LibJuicePress. President, @liu_ff. #unionstrong",67198,8833,3119,377,Brooklyn,Emily Drabinski,edrabinski,68228,,http://www.emilydrabinski.com,false
,Wed Mar 21 08:05:53 +0000 2018,EAW18,,,0,976369290629844992,,,,en,,,18,976281030536523776,BergisJules,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @BergisJules: Really appreciate all those who are able to rebook travel in order to be able to join us for #EAW18 in NYC. For those who…,https://twitter.com/CILIPKIM/status/976369290629844992,Fri Apr 30 12:51:47 +0000 2010,CILIPKIM,false,CILIP Knowledge and Information Management Group,694,1063,661,36,UK,CILIP K&IM,CILIPKIM,4264,,https://www.cilip.org.uk/about/special-interest-groups/knowledge-information-management-group,false
,Wed Mar 21 22:28:12 +0000 2018,EAW18,,,2,976586300156514304,,,,en,,,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",On a train to #EAW18 with no snow in sight. So far so good,https://twitter.com/GregWiedeman/status/976586300156514304,Mon Mar 28 03:39:31 +0000 2011,GregWiedeman,false,"University Archivist at @ualbany, making public records accessible. Sometimes I complain about the Mets. Views are my own.",1323,354,345,17,"Scotia, NY & Albany, NY",Greg Wiedeman,GregWiedeman,2861,,http://gregwiedeman.com,false
"-80.53149027,43.46221696",Wed Mar 21 16:47:05 +0000 2018,,,,0,976500455898472448,mart1nkle1n,976499415421681700,337124515,en,"Waterloo, Ontario",,0,,,"<a href=""https://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>",@mart1nkle1n Too bad to hear Martin – but hope you have a smooth trip back to ABQ. Hopefully our paths can cross again soon!,https://twitter.com/ianmilligan1/status/976500455898472448,Mon Feb 21 21:14:13 +0000 2011,ianmilligan1,false,"Associate professor, @waterloohistory. Helping lead @unleasharchives. Digital history, digital libraries, web archives.",3034,4490,1718,261,"Waterloo, Ontario",Ian Milligan,ianmilligan1,24035,,http://ianmilligan.ca,false
,Wed Mar 21 21:53:10 +0000 2018,,,,0,976577484329291776,,,,en,,,22,976459872391876609,sdaythomson,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @sdaythomson: Need a dose of ethical web archiving to clear the bad taste of the perpetually unfolding Cambridge Analytics scandal? The…,https://twitter.com/jsdeutch/status/976577484329291776,Thu Jul 03 08:36:57 +0000 2014,jsdeutch,false,disco & data politics | PhD candidate w @BIM_HU_Berlin | researcher w @syrian_archive | fellow @CIHR_eu,1200,431,840,31,,Jeff Deutch,jsdeutch,1921,,http://www.jeffdeutch.me,false
,Wed Mar 21 14:10:56 +0000 2018,,,,0,976461156956155905,,,,en,,,22,976459872391876609,sdaythomson,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",RT @sdaythomson: Need a dose of ethical web archiving to clear the bad taste of the perpetually unfolding Cambridge Analytics scandal? The…,https://twitter.com/Sarah_DPC/status/976461156956155905,Tue Apr 09 11:31:33 +0000 2013,Sarah_DPC,false,Head of Communications and Advocacy for the Digital Preservation Coalition,1478,1270,715,51,York,Sarah Middleton,Sarah_DPC,4156,,http://www.dpconline.org,false
,Wed Mar 21 20:45:03 +0000 2018,,,,0,976560340631666688,,,,en,,,3,976553476254728192,jsdeutch,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @jsdeutch: ❄️ Thrilled to be learning and participating this week at Ethics of Archiving the Web w/ @documentnow @rhizome @newmuseum #EA…,https://twitter.com/documentnow/status/976560340631666688,Sun Aug 23 15:06:18 +0000 2015,documentnow,false,tools + community + ethics for documenting the now / banner image: Haaaaands Up! Dooooon't Shoot! by @jbouie. Tweets by @BergisJules & @edsu,1335,2060,318,74,in the network,DocumentingTheNow,documentnow,2005,,http://www.docnow.io,false
,Wed Mar 21 23:22:03 +0000 2018,,,,0,976599852363730944,,,,en,,,19,976587661979869185,morehshin,"<a href=""http://klinkerapps.com"" rel=""nofollow"">Talon Android</a>","RT @morehshin: tomorrow i'm giving a talk on 'digital colonialism, the problem of 'universal' cultural heritage, and the complications of w…",https://twitter.com/jordanclaire/status/976599852363730944,Tue Aug 14 18:38:20 +0000 2007,jordanclaire,false,"landscape archivist, digital repositories librarian, they/them",28316,2374,1343,144,Toronto/K-W,jordanclaire,jordanclaire,45274,,http://microformed.net,false
